ts	attempt	http	verdict	detail
03:42:15	1	500	BOOT_FAILED	Failed to start container: The container is not running, consider calling start()
03:42:37	2	500	BOOT_FAILED	Failed to start container: The container is not running, consider calling start()
03:42:57	3	500	BOOT_FAILED	Failed to start container: The container is not running, consider calling start()
03:43:17	4	500	BOOT_FAILED	Failed to start container: There has been an internal error connecting to the port
03:43:40	5	500	BOOT_FAILED	Failed to start container: The container is not running, consider calling start()
03:44:00	6	500	BOOT_FAILED	Failed to start container: The container is not running, consider calling start()
